Song Title,Artist,Spotify or YouTube link,Your name (or tag)
These Walls,Kendrick Lamar,https://open.spotify.com/track/7a4hhCV3GlgA7a8wwJBy5B?si=XppXr91-Tmawu9yKhjmyZw,Duck
I smoked away my brain,A$AP ROCKY and clams casino,https://open.spotify.com/track/3ZaEs1O8BG581qYPHpQ8d6?si=15992bbda2ce4c3c,Akash
RED TEAR DROPS GOTH CRIP,Black Kray,https://open.spotify.com/track/1a5PQyHHmkkWLE2tMHoy8v?si=7d6ec688048c4ff6,Akash
Tears Don't Fall,Bullet For My Valentine,https://open.spotify.com/track/1kdiiFGX1Htx0aVZYaDwEJ?si=d31fd9a3df954770,Duck
"GONE, GONE / THANK YOU","Tyler, The Creator",https://open.spotify.com/track/1hz7SRTGUNAtIQ46qiNv2p?si=a839ed34cee244b7,Duck
Hacker,Death Grips,https://open.spotify.com/track/7y8X0Z04gJCKtfrnSAMywJ?si=b0fb1e9beab94230,Duck
Good News,Mac Miller,https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY?si=1b337b1d88c74dde,Duck
twentyfive,Mixed Matches,https://open.spotify.com/track/7nnfWEdfu9rkJvQ9gXImij?si=6aec886db96144cb,Duck
What They Do,The Roots,https://open.spotify.com/track/1B53Y95tPd4ah4FExO0egE?si=1fc5eeb513984371,Duck
Fly Out West,Yot Club,https://open.spotify.com/track/1GPmqcYcbgQeOiu7P3S6Xo?si=f354a8293ea94434,Duck
